date,org,storage,percentage
2023-10-05T14:03:33.047173,total,0,1
2023-10-05T15:29:29.607489,total,0,1
2023-10-12T10:34:23.482079,total,0,1
2023-10-12T11:59:42.817180,total,0,1
2023-10-12T12:07:48.414677,total,0,1
2023-10-12T12:13:19.849564,org_1,2093,0.6714789862046839
2023-10-12T12:13:19.849564,org_2,1024,0.328521013795316
2023-10-12T12:13:19.849564,total,3117,1
2023-10-12T12:27:48.850244,org_1,2093,0.6714789862046839
2023-10-12T12:27:48.850244,org_2,1024,0.328521013795316
2023-10-12T12:27:48.850244,total,3117,1
2023-10-12T12:31:08.247811,org_1,2093,0.6714789862046839
2023-10-12T12:31:08.247811,org_2,1024,0.328521013795316
2023-10-12T12:31:08.247811,total,3117,1
2023-10-12T12:34:55.023216,org_1,2093,0.6714789862046839
2023-10-12T12:34:55.023216,org_2,1024,0.328521013795316
2023-10-12T12:34:55.023216,total,3117,1
